,username,created_at,verified,followers_count,date,timezone,tweet,nlikes,nreplies,nretweets,lang,sentiment,emotion,hate_speech
0,9059,1648233232000.0,False,83739,2022-03-25 12:33:52,-600,"El presidente brasileño, Jair Bolsonaro, firmó un decreto ejecutivo que establece nuevas reglas para el teletrabajo.",0,0,0,es,NEU,others,['NEU']
1,9059,1648232624000.0,False,83739,2022-03-25 12:23:44,-600,Nada justifica la violencia. Fomentemos valores y principios de respeto hacia las niñas y las mujeres.  DíaNaranja  emoji mandarina emoji,0,0,0,es,NEU,others,['NEU']
2,9059,1648187178000.0,False,83739,2022-03-24 23:46:18,-600,El presidente AMLO pide una disculpa a la gobernadora y miembros de la Junta de Gobierno por anunciar antes la decisión de política monetaria y reitera su compromiso con la autonomía de Banxico .  url,1,0,0,es,NEG,others,['NEU']
3,9059,1648185903000.0,False,83739,2022-03-24 23:25:03,-600,Trump demanda a Hillary Clinton y al Comité Nacional Demócrata alegando conspiración para vincular su campaña con Rusia  url,1,0,0,es,NEU,others,['NEU']
4,9059,1648185827000.0,False,83739,2022-03-24 23:23:47,-600,Video:   url,1,0,0,en,NEU,others,['NEU']
5,9059,1648185671000.0,False,83739,2022-03-24 23:21:11,-600,¿Robo a Perú? Uruguay consigue su boleto para el Mundial de Qatar2022  url,13,4,2,es,NEU,others,['NEU']
6,9059,1648185132000.0,False,83739,2022-03-24 23:12:12,-600,Mijares sorprendió al entonar el Himno Nacional en el México vs EEUU  url,10,0,4,es,POS,others,['NEU']
7,9059,1648165623000.0,False,83739,2022-03-24 17:47:03,-600,Momento en que un barco ruso lleno de municiones es 'golpeado' en Ucrania mientras la flota de Putin huye   url,18,2,6,es,NEU,others,['NEU']
8,9059,1648159585000.0,False,83739,2022-03-24 16:06:25,-600,Portugal vence a Turquía y se jugará el billete mundialista contra Macedonia.  url,12,0,1,es,NEU,others,['NEU']
9,9059,1648159014000.0,False,83739,2022-03-24 15:56:54,-600,"El coordinador de Morena en el Senado, Ricardo Monreal confió en que en esta cámara se apruebe la reforma eléctrica del presidente Andrés Manuel López Obrador   url",0,0,0,es,NEU,others,['NEU']
10,9059,1648155862000.0,False,83739,2022-03-24 15:04:22,-600,"@usuario Para acceder a una franquicia, los interesados deberán contar con una liquidez mínima de 1,500,000 de dólares, así como contar con la capacidad de abrir y operar múltiples sucursales en una zona geográfica.",0,0,0,es,NEU,others,['NEU']
11,9059,1648154664000.0,False,83739,2022-03-24 14:44:24,-600,"MÉXICO:   Eres amante de la pizza y quieres comenzar tu negocio, Little Caesars te está buscando para sumarte a la marca como franquiciatario y así, poder expandir la marca en todo México.",0,1,1,es,POS,others,['NEU']
12,9059,1648154053000.0,False,83739,2022-03-24 14:34:13,-600,"Las acciones de Grupo Financiero Banorte en la BMV se desploman 6.72% este martes hasta un precio de 150.05 pesos cada una, esto después de que el grupo emitiera un comunicado en donde confirma sus intenciones de adquirir Citibanamex en México.",6,0,2,es,NEG,others,['NEU']
13,9059,1648153871000.0,False,83739,2022-03-24 14:31:11,-600,"Inflación se desacelera, se ubicó en 7.29% anual en la primera mitad de marzo: INEGI",0,0,2,es,NEG,others,['NEU']
14,9059,1648153613000.0,False,83739,2022-03-24 14:26:53,-600,Sigue la conversación  url,1,0,0,es,NEU,others,['NEU']
15,9059,1648153538000.0,False,83739,2022-03-24 14:25:38,-600,Javier Aguirre regresa a España para dirigir al Mallorca  url,0,0,1,es,NEU,others,['NEU']
16,9059,1648153485000.0,False,83739,2022-03-24 14:24:45,-600,Netflix compartió las primeras imágenes de la temporada 4 de Stranger Things y la identidad de los nuevos villanos.   27 Mayo  url,13,0,3,es,NEU,others,['NEU']
17,9059,1648153377000.0,False,83739,2022-03-24 14:22:57,-600,Kate Middleton dejó a todos boquiabiertos en Jamaica con este espectacular traje Yves Saint Laurent.  url,32,0,3,es,NEU,others,['NEU']
18,9059,1648153237000.0,False,83739,2022-03-24 14:20:37,-600,AMLO se adelantó y anunció que Banxico subiera la tasa de fondeo en 50 pb a un 6.5 por ciento.,2,1,1,es,NEU,others,['NEU']
19,9059,1648152880000.0,False,83739,2022-03-24 14:14:40,-600,Rusia dice que la OTAN quiere que continúen las acciones militares.,1,0,1,es,NEU,others,['NEU']
20,9059,1648152273000.0,False,83739,2022-03-24 14:04:33,-600,"El acuerdo reparatorio incluye:  El pago de un radio y un teléfono celular. Hoy antes de las 15:00 horas, deberá ofrecer una disculpa a los mandos de la Policía. Sandra Cuevas deberá someterse por seis meses a tratamiento psicológico por manejo de ira.",0,0,1,es,NEU,others,['NEU']
21,9059,1648151894000.0,False,83739,2022-03-24 13:58:14,-600,"URGENTE:  Logra Sandra Cuevas Alcaldesa de la Cuauhtémoc, solución jurídica alterna por no contar con antecedentes penales y el poder judicial de la CDMX lo permite, lo cual no quiere decir que reconociera haber cometido los delitos.  url",5,0,4,es,NEG,others,['NEU']
22,9059,1648151194000.0,False,83739,2022-03-24 13:46:34,-600,Sandra Cuevas se reincorpora a sus actividades como Alcaldesa  emoji mujer tono de piel claro emoji  tras solución jurídica alterna por no contar con antecedentes penales  emoji botón de marca de verificación emoji  sin reconocimiento de haber cometido NINGÚN DELITO.  Juez prohíbe hablar 6 meses del tema emoji cara pidiendo silencio emoji   url,13,2,17,es,NEU,others,['NEU']
23,9059,1648148489000.0,False,83739,2022-03-24 13:01:29,-600,"El embajador ruso en México, Viktor Koronelli, celebra la posición del gobierno de Andrés Manuel López Obrador de no unirse a las sanciones que han impuesto otras naciones a Rusia debido a la guerra con Ucrania.  url",0,0,1,es,NEG,others,['NEU']
24,9059,1648148243000.0,False,83739,2022-03-24 12:57:23,-600,"Una escena salvaje en Irvine a primera hora de la tarde cuando un puma corría por un concurrido centro comercial antes de entrar en un edificio de oficinas. Luego, el puma fue tranquilizado por el control de animales y transportado a un veterinario local.   url",1,0,1,es,NEU,others,['NEU']
25,9059,1648148195000.0,False,83739,2022-03-24 12:56:35,-600,"León de montaña causa furor en California antes de ser perseguido por ""agentes de garras""  url",6,2,5,es,NEG,others,['NEU']
26,9059,1648147984000.0,False,83739,2022-03-24 12:53:04,-600,"El caso de Sandra Cuevas ha llegado a su fin gracias a que la defensa ha optado por apegarse a las soluciones alternas previstas en el Código Nacional de Procedimientos Penales, con lo cual la Alcaldesa de Cuauhtémoc  se reincorpora a sus funciones publicas de manera normal.",6,0,5,es,NEU,others,['NEU']
27,9059,1648145567000.0,False,83739,2022-03-24 12:12:47,-600,"Sandra Cuevas, alcaldesa suspendida en Cuauhtémoc, asiste a audiencia en Reclusorio Norte.",1,1,0,es,NEU,others,['NEU']
28,9059,1648145414000.0,False,83739,2022-03-24 12:10:14,-600,"La OTAN ""nunca ha estado tan unida"" como ahora, afirma el presidente de EEUU, Joe Biden, en Bruselas.  url",2,0,2,es,NEG,others,['NEU']
29,9059,1648145230000.0,False,83739,2022-03-24 12:07:10,-600,"La Alcaldesa, Sandra Cuevas podría regresar a sus actividades, acuerdo reparatorio concluiría medidas cautelares.  url",2,1,1,es,NEU,others,['NEU']
30,9059,1648075084000.0,False,83739,2022-03-23 16:38:04,-600,"El fuego en el cerro del Tepozteco continúa. De acuerdo con el gobernador, el incendio fue provocado intencionalmente por un hombre y ha consumido al menos cien hectáreas.  url",9,1,6,es,NEG,others,['NEU']
31,9059,1648074875000.0,False,83739,2022-03-23 16:34:35,-600,"Profepa informó que fueron aseguradas 77 ejemplares: 13 cardenales, 13 centzontles, 3 clarines, 15 floricanos, 1 mirlo, 6 semilleros, 3 pinzones mexicanos, 14 siete colores, 6 canarios y 3 cotorras cuchas.  url",5,1,3,es,NEU,others,['NEU']
32,9059,1648074636000.0,False,83739,2022-03-23 16:30:36,-600,Momento vertiginoso en el que un camión se voltea 360 sobre una carretera de Texas durante un violento tornado  emoji tornado emoji   url,20,0,6,es,NEG,others,['NEU']
