,username,protected,verified,location,followers_count,following_count,tweet_count,listed_count
0,0,False,False,,3,61,3,0
1,1,False,False,,0,30,0,0
2,2,False,False,,30,26,13,0
3,3,False,False,,0,39,0,0
4,4,False,False,,0,55,0,0
5,5,False,False,,0,42,0,0
6,6,False,False,"Bronx, NY",0,233,0,0
7,7,False,False,,2,184,12,0
8,8,False,False,,0,5,0,0
9,9,False,False,"Tlaquepaque, Jalisco",12,287,42,0
10,10,False,False,,0,4,2,0
11,11,False,False,,0,13,5,0
12,12,False,False,,0,56,0,0
13,13,False,False,,0,2,0,0
14,14,False,False,,0,25,0,0
15,15,False,False,,0,32,4,0
16,16,False,False,,0,13,46,0
17,17,True,False,,0,13,0,0
18,18,True,False,,0,26,0,0
19,19,True,False,,0,71,0,0
20,20,False,False,,193,2050,2322,1
21,21,False,False,,0,64,0,0
22,22,False,False,,0,17,0,0
23,23,False,False,,1,63,0,0
24,24,False,False,,0,85,1,0
25,25,False,False,,0,98,0,0
26,26,True,False,,0,23,0,0
27,27,False,False,,0,32,0,0
28,28,False,False,,0,110,1,0
29,29,True,False,"García Gineres, Mérida",3,23,9006,1
30,30,False,False,México,0,3,1,0
31,31,False,False,,0,2,0,0
32,32,True,False,,15,366,0,0
33,33,False,False,,2,59,26,0
34,34,False,False,México ,14,173,377,0
35,35,False,False,Mexico DF,9,61,198,0
36,36,False,False,,5,164,68,0
37,37,False,False,,0,6,0,0
38,38,False,False,,0,469,0,0
39,39,False,False,,14,164,7,0
40,40,False,False,,11,256,44,0
41,41,False,False,,0,17,0,0
42,42,True,False,,0,31,0,0
43,43,False,False,,0,29,0,0
44,44,True,False,"Distrito Federal, México",4,139,142,0
45,45,False,False,,0,18,0,0
46,46,False,False,lerma,136,703,99,3
47,47,False,False,,0,4,0,0
48,48,False,False,"Benito Juárez, Distrito Federa",38,268,70,0
49,49,False,False,,1,18,2,0
50,50,False,False,,2,43,7,0
51,51,False,False,,0,13,0,0
52,52,False,False,,0,47,8,0
53,53,False,False,,1070,1494,84280,16
54,54,False,False,,0,3,0,0
55,55,False,False,,4,59,137,0
56,56,False,False,,0,22,0,0
57,57,False,False,"New York, New York",151,411,13595,0
58,58,False,False,,4,314,272,0
59,59,False,False,"León, Guanajuato",6,193,3,0
60,60,True,False,,0,36,0,0
61,61,False,False,,0,5,0,0
62,62,False,False,,0,54,1,0
63,63,False,False,,3,96,90,0
64,64,False,False,,25,165,138,0
65,65,False,False,,2,523,0,0
66,66,False,False,,2,160,0,0
67,67,True,False,,0,1,0,0
68,68,False,False,,1,128,0,1
69,69,False,False,Ciudad de México,343,729,8685,8
70,70,True,False,,0,2,0,0
71,71,False,False,,0,10,0,0
72,72,False,False,,0,42,2,0
73,73,False,False,,0,57,15,0
74,74,False,False,,1,27,0,0
75,75,False,False,,2,146,0,0
76,76,False,False,México,0,61,0,0
77,77,False,False,,83,330,215,0
78,78,True,False,New York,26,265,178,0
79,79,True,False,,0,10,0,0
80,80,True,False,,0,188,23,0
81,81,False,False,,0,39,0,0
82,82,False,False,,0,77,0,0
83,83,False,False,,0,36,0,0
